,card_number,match_api_id,card_type,comment,elapsed,event_incident_typefk,card_id,n,player1,sortorder,stats,subtype,team,type,elapsed_plus,del,goal_type
0,1,489042,y,y,78,73,379481,342,24157,1,,serious_fouls,10260,card,,,
1,2,489042,y,y,82,73,379503,346,30362,1,,serious_fouls,10260,card,,,
2,3,489042,y,y,90,70,379547,353,30829,1,,,10260,card,,,
3,1,489044,y,y,56,73,377978,327,37442,5,,serious_fouls,8650,card,,,
4,2,489044,y,y,90,25,378060,353,46621,3,,stall_time,8650,card,,,
5,1,489045,y,y,39,73,376643,278,24223,1,,serious_fouls,8654,card,,,
6,2,489045,y,y,49,77,376951,298,37277,1,,shirt_pull,8654,card,,,
7,3,489045,y,y,68,70,377290,323,97988,2,,,8528,card,,,
8,1,489046,y,y,34,73,378719,233,23939,0,,serious_fouls,8456,card,,,
9,1,489047,y,y,45,73,376743,271,24136,1,,serious_fouls,8655,card,,,
10,2,489047,y,y,59,73,377153,302,37764,1,,serious_fouls,8655,card,,,
11,3,489047,y,y,75,73,377390,295,24004,1,,serious_fouls,8668,card,,,
12,4,489047,y,y,90,73,377658,333,24160,0,,serious_fouls,8668,card,4,,
13,1,489048,y,y,61,73,377167,322,30818,1,,serious_fouls,8586,card,,,
14,2,489048,y,y,76,73,377410,345,23760,3,,serious_fouls,8586,card,,,
15,3,489048,y,y,90,73,377638,364,33128,2,,serious_fouls,8549,card,2,,
16,1,489049,y,y,62,73,377199,328,26454,0,,serious_fouls,8559,card,,,
17,2,489049,y,y,64,73,377231,331,23333,1,,serious_fouls,10194,card,,,
18,3,489049,y,y,90,73,377656,359,24435,0,,serious_fouls,10194,card,3,,
19,1,489050,y,y,29,77,376480,248,34430,1,,shirt_pull,8667,card,,,
20,2,489050,y,y,44,73,376737,262,23022,1,,serious_fouls,8667,card,,,
21,3,489050,y,y,90,73,377613,302,23034,4,,serious_fouls,8667,card,,,
22,1,489051,y,y,45,79,378320,306,36286,4,,verbal_abuse,8462,card,1,,
23,1,489132,y,y,23,73,464128,216,32569,2,,serious_fouls,10260,card,,,
24,2,489132,y,y,65,73,465307,254,109898,1,,serious_fouls,8654,card,,,
25,3,489132,y,y,81,73,465608,273,24751,1,,serious_fouls,8654,card,,,
26,1,489133,y,y,54,73,465001,280,40006,3,,serious_fouls,8586,card,,,
27,2,489133,y,y,57,73,465064,287,23760,1,,serious_fouls,8586,card,,,
28,3,489133,y,y,59,73,465103,289,24656,1,,serious_fouls,8586,card,,,
29,4,489133,y,y,85,70,465612,311,30818,0,,,8586,card,,,
30,5,489133,y,y,90,70,465689,321,27277,6,,,9825,card,1,,
31,1,489134,y,y,31,73,464256,260,39027,4,,serious_fouls,8456,card,,,
32,2,489134,y,y,45,79,464500,262,24213,3,,verbal_abuse,8456,card,,,
33,3,489134,y,y,74,129,465409,281,24393,5,,hands,8549,card,,,
34,4,489134,y,y,84,79,465592,295,33974,2,,verbal_abuse,8456,card,,,
35,1,489135,y,y,19,73,464035,237,33086,1,,serious_fouls,8668,card,,,
36,2,489135,y,y,41,73,464482,248,23785,5,,serious_fouls,8559,card,,,
37,3,489135,y,y,90,70,465707,340,39618,0,,,8668,card,1,,
38,1,489136,y,y,11,70,463518,224,30630,1,,,8455,card,,,
39,2,489136,y,y,58,70,464731,242,30686,2,,,8455,card,,,
40,1,489137,y,y,29,77,463847,293,40005,1,,shirt_pull,10194,card,,,
41,2,489137,y,y,51,73,464657,318,24133,2,,serious_fouls,10194,card,,,
42,3,489137,y,y,70,73,465031,301,38802,3,,serious_fouls,8472,card,,,
43,1,489138,y,y,49,73,464814,254,23988,2,,serious_fouls,8462,card,,,
44,2,489138,y,y,75,129,465402,279,25517,2,,hands,8462,card,,,
45,3,489138,y,y,75,70,465733,294,40987,3,,,8462,card,,,
46,1,489139,y,y,78,73,465181,300,19020,0,,serious_fouls,8655,card,,,
47,1,489140,y,y,9,70,462694,269,42594,2,,,8659,card,,,
48,2,489140,y,y,62,77,462990,323,24728,2,,shirt_pull,8659,card,,,
49,3,489140,y,y,67,70,463002,327,32570,0,,,8659,card,,,
50,4,489140,y,y,90,79,463080,359,23788,2,,verbal_abuse,8659,card,3,,
51,1,489141,y,y,35,73,464011,235,38816,0,,serious_fouls,8528,card,,,
52,2,489141,y,y,76,73,465198,278,25150,3,,serious_fouls,8528,card,,,
53,1,489142,y,y,20,73,467149,202,34275,2,,serious_fouls,8667,card,,,
54,2,489142,y,y,85,73,468288,271,30829,1,,serious_fouls,10260,card,,,
55,3,489142,y,y,86,73,468295,273,32577,0,,serious_fouls,8667,card,,,
56,4,489142,y,y,86,73,468301,276,38817,2,,serious_fouls,10260,card,,,
57,1,489143,y,y,45,73,468753,272,30618,2,,serious_fouls,8650,card,1,,
58,2,489143,y,y,67,70,468922,301,30617,1,,,8650,card,,,
59,3,489143,y,y,75,70,468962,311,30354,3,,,8586,card,,,
60,1,489145,y,y,17,73,467080,233,24166,0,,serious_fouls,8549,card,,,
61,2,489145,y,y,33,70,467297,244,24163,1,,,8549,card,,,
62,3,489145,y,y,40,73,467395,252,30687,0,,serious_fouls,8654,card,,,
63,4,489145,y,y,61,73,467880,280,109898,1,,serious_fouls,8654,card,,,
64,5,489145,y,y,65,77,467947,286,35544,2,,shirt_pull,8549,card,,,
65,6,489145,y,y,80,73,468184,311,30734,1,,serious_fouls,8654,card,,,
66,7,489145,y,y,90,73,468326,325,33781,0,,serious_fouls,8654,card,,,
67,1,489146,y,y,9,78,472931,254,25518,1,,kicked_ball_away,10261,card,,,
68,2,489146,y,y,22,73,472958,261,23782,3,,serious_fouls,10252,card,,,
69,3,489146,y,y,37,325,472998,279,30357,2,,pushing,10252,card,,,
70,4,489146,y,y,53,73,473052,301,24205,7,,serious_fouls,10261,card,,,
71,5,489146,y,y,71,73,473092,320,24225,1,,serious_fouls,10261,card,,,
72,6,489146,y,y,57,79,473101,323,37799,1,,verbal_abuse,10261,card,,,
73,7,489146,y,y,77,73,473107,325,23283,2,,serious_fouls,10252,card,,,
74,1,489147,y,y,32,73,471045,291,30509,2,,serious_fouls,8456,card,,,
75,2,489147,y,y,58,25,471490,326,23932,0,,stall_time,8559,card,,,
76,1,489148,y,y,19,73,467115,244,34947,0,,serious_fouls,8655,card,,,
77,2,489148,y2,y2,36,202,467348,264,34947,0,,hands,8655,card,,,
78,3,489148,y,y,40,79,467413,267,42594,0,,verbal_abuse,8659,card,,,
79,4,489148,y,y,68,73,468026,303,31731,2,,serious_fouls,8659,card,,,
80,5,489148,y,y,79,73,468204,315,38433,2,,serious_fouls,8659,card,,,
81,6,489148,y,y,90,73,468394,327,35506,4,,serious_fouls,8655,card,2,,
82,1,489149,y,y,18,73,467119,240,25150,3,,serious_fouls,8528,card,,,
83,2,489149,y,y,35,73,467342,255,24230,1,,serious_fouls,8528,card,,,
84,3,489149,y,y,49,73,467752,280,111865,1,,serious_fouls,8528,card,,,
85,1,489150,y,y,40,70,467421,279,30960,0,,,9825,card,,,
86,2,489150,y,y,64,70,467959,304,35467,1,,,10194,card,,,
87,3,489150,y,y,68,73,468032,314,23314,2,,serious_fouls,10194,card,,,
88,4,489150,r,r,77,63,468170,323,30843,0,,serious_fouls,9825,card,,,
89,5,489150,y,y,90,73,468375,333,25668,2,,serious_fouls,10194,card,1,,
90,6,489150,y,y,90,176,468428,339,30613,1,,violence,9825,card,8,,
91,7,489150,y,y,90,176,468429,337,23072,1,,violence,10194,card,8,,
92,1,489151,y,y,39,73,467422,246,24655,5,,serious_fouls,8472,card,,,
93,1,489152,y,y,27,73,477674,302,38835,1,,serious_fouls,9825,card,,,
94,2,489152,y,y,38,70,477735,312,32569,2,,,10260,card,,,
95,3,489152,y,y,40,77,477743,294,26111,2,,shirt_pull,9825,card,,,
96,4,489152,y,y,51,73,477805,327,31291,2,,serious_fouls,9825,card,,,
97,5,489152,y,y,66,73,477905,363,34944,5,,serious_fouls,10260,card,,,
98,1,489153,y,y,18,73,479390,209,26527,3,,serious_fouls,8659,card,,,
99,2,489153,y,y,67,73,479646,224,37442,1,,serious_fouls,8650,card,,,
100,3,489153,y,y,88,73,479709,270,38818,1,,serious_fouls,8650,card,,,
101,1,489154,y,y,82,77,479006,279,24408,1,,shirt_pull,8472,card,,,
102,2,489154,y,y,85,73,479043,269,23988,1,,serious_fouls,8462,card,,,
103,3,489154,y,y,89,73,479079,268,24411,0,,serious_fouls,8472,card,,,
104,1,489155,y,y,69,325,478932,343,33086,3,,pushing,8668,card,,,
105,2,489155,y,y,81,325,479051,339,24773,1,,pushing,8654,card,,,
106,1,489156,y,y,71,73,482243,335,38807,1,,serious_fouls,10252,card,,,
107,2,489156,y,y,73,73,482280,356,24753,1,,serious_fouls,8549,card,,,
