,goal_number,match_api_id,comment,elapsed,event_incident_typefk,goal_type,goal_id,n,player1,player2,sortorder,stats,subtype,team,type,elapsed_plus,del,coordinates
0,1,489042,n,22,406,n,378998,295,37799,38807,5,,header,10261,goal,,,
1,2,489042,n,24,393,n,379019,298,24148,24154,4,,shot,10260,goal,,,
2,1,489043,n,4,393,n,375546,231,26181,39297,2,,shot,9825,goal,,,
3,1,489044,n,83,407,n,378041,344,30853,30889,0,,distance,8650,goal,,,
4,1,489045,n,4,393,n,376060,244,23139,36394,2,,shot,8654,goal,,,
5,2,489045,n,10,393,n,376165,251,23139,37277,1,,shot,8654,goal,,,
6,3,489045,n,47,411,n,376929,294,127857,34466,3,,volley,8528,goal,,,
7,1,489046,n,47,406,n,378837,251,26165,23354,2,,header,10252,goal,,,
8,2,489046,p,64,20,p,378981,266,40198,,0,,,8456,goal,,,
9,3,489046,n,69,393,n,379030,270,23264,24658,1,,shot,10252,goal,,,
10,4,489046,n,74,406,n,379074,283,23264,23782,1,,header,10252,goal,,,
11,5,489046,n,76,393,n,379095,277,23264,23782,1,,shot,10252,goal,,,
12,6,489046,n,90,393,n,379250,281,46403,45431,1,,shot,8456,goal,,,
13,1,489047,n,22,407,n,376354,252,30342,23916,0,,distance,8655,goal,,,
14,2,489047,n,45,130,n,376795,277,24011,,0,,direct_freekick,8668,goal,2,,
15,3,489047,n,65,406,n,377232,305,24160,24011,0,,header,8668,goal,,,
16,4,489047,n,67,393,n,377255,297,30646,24136,0,,shot,8655,goal,,,
17,5,489047,n,90,393,n,377671,320,37764,23921,1,,shot,8655,goal,5,,
18,1,489048,dg,32,299,dg,376536,76,24166,,1,,header,8549,goal,,,
19,2,489048,n,71,393,n,377347,338,24166,35608,7,,shot,8549,goal,,,
20,3,489048,n,86,393,n,377556,355,38491,33128,3,,shot,8549,goal,,,
21,4,489048,o,90,115,o,377648,366,38899,,1,,,8549,goal,3,,
22,1,489049,n,34,407,n,376569,298,26454,23933,0,,distance,8559,goal,,,
23,2,489049,n,41,406,n,376692,303,23934,23783,2,,header,8559,goal,,,
24,3,489049,n,45,406,n,376818,311,34261,23931,2,,header,8559,goal,2,,
25,4,489049,n,90,406,n,377666,362,38755,23371,4,,header,10194,goal,3,,
26,1,489050,n,9,406,n,376153,231,34248,24843,1,,header,9879,goal,,,
27,2,489050,n,23,407,n,376379,243,39073,34430,1,,distance,8667,goal,,,
28,3,489050,n,82,393,n,377500,295,23563,23034,1,,shot,8667,goal,,,
29,1,489051,n,12,393,n,378202,273,30630,30699,3,,shot,8455,goal,,,
30,2,489051,n,26,406,n,378245,287,37804,30686,2,,header,8455,goal,,,
31,3,489051,p,45,20,p,378318,305,30631,,0,,,8455,goal,2,,
32,4,489051,n,89,407,n,378626,354,30686,30367,4,,distance,8455,goal,,,
33,1,489132,n,14,393,n,463925,208,30893,40945,4,,shot,10260,goal,,,
34,2,489132,n,30,393,n,464314,220,30893,27430,2,,shot,10260,goal,,,
35,1,489133,n,13,407,n,463841,224,23760,30818,0,,distance,8586,goal,,,
36,2,489133,n,37,406,n,464406,259,30616,30843,2,,header,9825,goal,,,
37,3,489133,n,46,406,n,464813,270,38835,30843,3,,header,9825,goal,,,
38,4,489133,n,64,393,n,465227,293,30960,26181,2,,shot,9825,goal,,,
39,5,489133,n,68,80,n,465295,295,23949,,1,,shot,8586,goal,,,
40,6,489133,n,68,393,n,465304,296,30843,30960,2,,shot,9825,goal,,,
41,7,489133,n,89,80,n,465663,316,30818,,0,,shot,8586,goal,,,
42,8,489133,n,90,80,n,465718,327,30895,,1,,shot,8586,goal,4,,
43,1,489134,p,53,20,p,464942,298,35608,,0,,,8549,goal,,,
44,2,489134,n,90,393,n,465709,297,24393,42183,4,,shot,8549,goal,4,,
45,1,489135,n,90,406,n,465700,321,39618,36012,2,,header,8668,goal,,,
46,1,489136,n,3,80,n,463422,228,30631,,0,,shot,8455,goal,,,
47,2,489136,n,50,80,n,464624,232,37804,,2,,shot,8455,goal,,,
48,3,489136,n,75,393,n,465095,271,30679,30911,3,,shot,8455,goal,,,
49,1,489137,n,73,406,n,465096,321,38755,25668,2,,header,10194,goal,,,
50,1,489138,p,76,20,p,465392,278,30618,,0,,,8650,goal,,,
51,1,489139,n,30,393,n,463874,244,24136,34947,1,,shot,8655,goal,,,
52,2,489139,n,45,393,n,464313,261,30357,23282,0,,shot,10252,goal,2,,
53,3,489139,n,65,393,n,464895,281,23782,38807,0,,shot,10252,goal,,,
54,4,489139,n,87,393,n,465386,307,23264,23354,3,,shot,10252,goal,,,
55,5,489139,n,90,130,n,465513,312,30842,,0,,direct_freekick,8655,goal,4,,
56,1,489140,p,10,20,p,462695,271,24205,,0,,,10261,goal,,,
57,2,489140,n,42,406,n,462869,305,37799,25518,1,,header,10261,goal,,,
58,3,489140,n,65,393,n,462999,326,27267,40055,3,,shot,8659,goal,,,
59,1,489141,n,11,393,n,463522,211,31907,24781,0,,shot,9879,goal,,,
60,2,489141,n,60,393,n,464828,265,31907,24843,2,,shot,9879,goal,,,
61,1,489142,n,3,393,n,466901,190,30893,27430,1,,shot,10260,goal,,,
62,2,489142,n,23,406,n,467171,205,26143,23022,0,,header,8667,goal,,,
63,3,489142,n,29,393,n,467264,211,34944,27430,1,,shot,10260,goal,,,
64,4,489142,dg,40,298,dg,467429,66,30829,,1,,shot,10260,goal,,,
65,5,489142,n,44,406,n,467495,227,30893,40945,0,,header,10260,goal,,,
66,6,489142,n,57,393,n,467857,242,30865,30829,4,,shot,10260,goal,,,
67,7,489142,n,69,80,n,468051,250,32577,,2,,shot,8667,goal,,,
68,8,489142,p,82,20,p,468239,267,39073,,0,,,8667,goal,,,
69,1,489143,n,3,393,n,468555,239,37139,24635,3,,shot,8650,goal,,,
70,2,489143,o,69,115,o,468934,304,30617,,3,,,8650,goal,,,
71,3,489143,n,90,393,n,469035,328,40755,23949,2,,shot,8586,goal,1,,
72,1,489144,n,87,406,n,466744,323,30735,24006,3,,header,8668,goal,,,
73,1,489145,n,21,393,n,467145,236,24747,30734,0,,shot,8654,goal,,,
74,2,489145,n,82,130,n,468240,317,38491,,5,,direct_freekick,8549,goal,,,
75,1,489146,n,60,407,n,473071,307,37799,24205,1,,distance,10261,goal,,,
